# t, hp, hx
2.210403299399999952e-02 -1.340709978199999992e-03 1.693254566400000051e-08
2.212779625000000153e-02 -1.036004980299999904e-03 2.195144428099999899e-08
2.215156416000000142e-02 -9.708118145000000244e-04 2.080273715899999885e-08
2.217533387099999975e-02 -1.245269304799999930e-03 1.561849040500000119e-08
2.219910619999999890e-02 -1.866110185299999988e-03 3.404719013499999840e-09
2.222287649699999923e-02 -2.699700463000000075e-03 -8.433531342700000347e-09
2.224664401000000027e-02 -3.471409834300000132e-03 -1.412158445799999925e-08
2.227040992099999991e-02 -3.869484692000000128e-03 -4.093994309600000078e-09
2.229417251600000066e-02 -3.811046954399999794e-03 1.411021261799999960e-08
2.231793516899999857e-02 -3.489370119100000146e-03 3.872236162800000124e-08
2.234169968599999945e-02 -3.014203004600000090e-03 6.982663471800000090e-08
2.236546646000000041e-02 -2.461280236399999988e-03 8.289287300200000599e-08
2.238922836999999999e-02 -1.932689756800000077e-03 7.543574389200000285e-08
2.241299534799999840e-02 -1.459561097299999933e-03 5.304516860500000273e-08
2.243675863800000114e-02 -1.085665315199999979e-03 3.538577296100000290e-08
2.246052624300000009e-02 -9.041504424700000332e-04 2.264462135499999861e-08
2.248429180299999983e-02 -9.945889373300001012e-04 2.203248917999999912e-08
2.250806609599999980e-02 -1.401726770899999926e-03 5.278903842800000029e-08
2.253183393000000173e-02 -2.068262850200000211e-03 9.142372686300000530e-08
2.255559959100000150e-02 -2.872626842700000144e-03 1.091438824899999936e-07
2.257935742600000045e-02 -3.551856631900000144e-03 8.354479191500000340e-08
2.260312545699999856e-02 -3.797571603800000035e-03 2.841545278800000027e-08
2.262689552299999851e-02 -3.652269660900000180e-03 -2.603574437300000119e-08
2.265066374700000149e-02 -3.298920071200000213e-03 -6.001117270900000395e-08
2.267442489599999847e-02 -2.811513124500000013e-03 -5.632842445199999734e-08
2.269819130899999871e-02 -2.294691341799999940e-03 8.867884537000000532e-09
2.272195812599999906e-02 -1.828175497999999987e-03 9.472072770699999857e-08
